year,total,type,name
2003,1,club,Cristiano Ronaldo
2021,0,club,Cristiano Ronaldo
2004,0,club,Lionel Messi
2021,0,club,Lionel Messi
2023,0,club,Lionel Messi
2004,0,club,Robert Lewandowski
2005,2,club,Robert Lewandowski
2006,0,club,Robert Lewandowski
2006,2,club,Robert Lewandowski
2008,2,club,Robert Lewandowski
2010,0,club,Robert Lewandowski
2014,2,club,Robert Lewandowski
2022,2,club,Robert Lewandowski
2009,1,club,Neymar Jr
2017,2,club,Neymar Jr
2025,0,club,Neymar Jr
2022,2,club,Erling Haaland
2015,1,club,Kylian Mbappé
2017,4,club,Kylian Mbappé
2018,2,club,Kylian Mbappé
2010,0,club,Harry Kane
2012,1,club,Harry Kane
